subject_id,account_id,DATE_REPORTED,currency_code,REPAYMENT_FREQUENCY,NUMBER_OF_INSTALLMENTS,SANCTION_AMT,TOT_OUTSTD_BAL,OVER_DUE_AMT,AMOUNT_OF_INSTALLMENT,DATE_LATEST_PAY_RECEIVED,LAST_AMOUNT_PAID,DATE_ACC_OPEN,DATE_ACC_CLOSE,INSTALMENT_LOAN_TYPE,loan_status,ASSET_CLASSIFICATION,REASON_FOR_CLOSURE,NO_OF_DAYS_PAST_DUE,LOAN_TENURE,EXPECTED_END_DATE_OF_LOAN,CONDITION
1.10117E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,7000000,7789202,0,185457,28-Dec-17,,13-Jul-16,,ConsumerLoan,Existing,,,0,,28-Jul-21,No
1.10117E+17,2.20117E+15,3-Feb-18,TZS,MonthlyInstalments30Days,72,14000000,0,0,309629,,,4-Oct-17,4-Oct-23,OtherInstalmentOperation,Existing,,,0,,4-Oct-23,No
1.10113E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,72,14000000,13898140,95212,343504,22-Jan-18,,22-Nov-17,22-Nov-23,OtherInstalmentOperation,Existing,,,14,,22-Nov-23,No
1.10115E+17,2.20117E+15,9-Feb-18,TZS,MonthlyInstalments30Days,12,5000000,416667,0,504167,10-Jan-18,,10-Feb-17,10-Feb-18,OtherInstalmentOperation,Existing,,,0,,10-Feb-18,No
1.10117E+17,2.20118E+15,26-Feb-18,TZS,MonthlyInstalments30Days,60,2935000,2819505,0,79640,29-Jan-18,,27-Dec-17,5-Dec-22,ConsumerLoan,Existing,,,0,,5-Dec-22,No
1.10117E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,72,15500000,15283072,106619,380308,12-Jan-18,,12-Oct-17,12-Oct-23,OtherInstalmentOperation,Existing,,,24,,12-Oct-23,No
1.10118E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,48,1400000,1168237,0,46420,2-Feb-18,,2-Feb-17,2-Feb-21,OtherInstalmentOperation,Existing,,,0,,2-Feb-21,No
1.10114E+17,2.20115E+15,9-Feb-18,TZS,MonthlyInstalments30Days,36,3900000,0,0,153833,31-Jan-18,,30-Jan-15,28-Jan-18,ConsumerLoan,Existing,,,0,,28-Jan-18,No
1.10114E+17,2.20118E+15,3-Feb-18,TZS,MonthlyInstalments30Days,36,26000000,0,0,0,,,25-Jan-18,23-Feb-21,OtherInstalmentOperation,Existing,,,0,,23-Feb-21,No
1.10118E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,48,1600000,1147155,0,53051,31-Jan-18,,28-Jun-16,28-Jun-20,OtherInstalmentOperation,Existing,,,0,,28-Jun-20,No
1.10113E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,72,6800000,6798471,0,183173,28-Jan-18,,20-Dec-17,28-Dec-23,ConsumerLoan,Existing,,,0,,28-Dec-23,No
1.10115E+17,2.20117E+15,9-Feb-18,TZS,MonthlyInstalments30Days,24,1600000,1104365,9015,85394,31-Jan-18,,21-Apr-17,21-Apr-19,OtherInstalmentOperation,Existing,,,15,,21-Apr-19,No
1.10116E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,48,1700000,1679729,41749,56367,23-Jan-18,,26-Oct-17,26-Oct-21,OtherInstalmentOperation,Existing,,,41,,26-Oct-21,No
1.10113E+17,2.20117E+15,9-Feb-18,TZS,MonthlyInstalments30Days,60,7400000,7009283,0,217200,1-Feb-18,,1-Aug-17,1-Aug-22,ConsumerLoan,Existing,,,0,,1-Aug-22,No
1.10118E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,48,4200000,3439985,0,139260,31-Jan-18,,24-Dec-16,24-Dec-20,OtherInstalmentOperation,Existing,,,0,,24-Dec-20,No
1.10113E+17,2.20113E+15,26-Feb-18,TZS,MonthlyInstalments30Days,68,8000000,104521,104521,224294,30-Nov-17,,5-Jun-12,12-Jan-18,ConsumerLoan,Existing,,,14,,12-Jan-18,No
1.10115E+17,2.20116E+15,9-Feb-18,TZS,MonthlyInstalments30Days,48,2000000,1473749,0,66314,27-Jan-18,,14-Jul-16,14-Jul-20,OtherInstalmentOperation,Existing,,,0,,14-Jul-20,No
1.10117E+17,2.20117E+15,9-Feb-18,TZS,MonthlyInstalments30Days,36,2900000,644444,0,111972,24-Jan-18,,10-Sep-15,24-Sep-18,OtherInstalmentOperation,Existing,,,0,,24-Sep-18,No
1.10114E+17,2.20117E+15,3-Feb-18,TZS,MonthlyInstalments30Days,36,9000000,0,0,277499,,,12-Aug-17,23-Aug-20,OtherInstalmentOperation,Existing,,,0,,23-Aug-20,No
1.10118E+17,2.20116E+15,9-Feb-18,TZS,MonthlyInstalments30Days,72,7000000,6032793,0,180062,31-Jan-18,,28-Jul-16,30-Jul-22,OtherInstalmentOperation,Existing,,,0,,30-Jul-22,No
1.10116E+17,2.20116E+15,9-Feb-18,TZS,MonthlyInstalments30Days,48,13600000,7366667,0,442000,26-Jan-18,,18-Mar-16,25-Mar-20,OtherInstalmentOperation,Existing,,,0,,25-Mar-20,No
1.10113E+17,2.20113E+15,8-Feb-18,TZS,MonthlyInstalments30Days,9,3000000,0,2180886,422070,29-Sep-14,,26-Sep-13,,BusinessLoan,Existing,,,,,3-Jul-14,No
1.10113E+17,2.20115E+15,9-Feb-18,TZS,MonthlyInstalments30Days,60,4500000,2550000,0,138750,25-Jan-18,,7-Nov-15,25-Nov-20,ConsumerLoan,Existing,,,0,,25-Nov-20,No
1.10113E+17,2.20115E+15,9-Feb-18,TZS,MonthlyInstalments30Days,60,5400000,2520000,0,157500,18-Jan-18,,18-May-15,18-May-20,OtherInstalmentOperation,Existing,,,0,,18-May-20,No
1.10113E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,72,2890000,2006944,0,76264,31-Jan-18,,30-Mar-16,30-Mar-22,ConsumerLoan,Existing,,,0,,30-Mar-22,No
1.10113E+17,2.20117E+15,9-Feb-18,TZS,MonthlyInstalments30Days,72,10500000,9596570,0,270093,28-Jan-18,,16-Dec-16,28-Dec-22,ConsumerLoan,Existing,,,0,,28-Dec-22,No
1.10116E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,6,1300000,1083333,0,255667,20-Jan-18,,19-Dec-17,19-Jun-18,OtherInstalmentOperation,Existing,,,0,,19-Jun-18,No
1.10114E+17,2.20117E+15,3-Feb-18,TZS,MonthlyInstalments30Days,22,2704619,0,0,0,,,3-Aug-16,23-Jun-18,OtherInstalmentOperation,TerminatedInAdvanceCorrectly,,,0,,23-Jun-18,No
1.10118E+17,2.20116E+15,9-Feb-18,TZS,MonthlyInstalments30Days,72,9000000,8148739,0,231508,28-Jan-18,,6-Oct-16,28-Oct-22,ConsumerLoan,Existing,,,0,,28-Oct-22,No
1.10115E+17,2.20116E+15,9-Feb-18,TZS,MonthlyInstalments30Days,72,4000000,3414715,0,102892,31-Jan-18,,11-Jun-16,11-Jun-22,ConsumerLoan,Existing,,,0,,11-Jun-22,No
1.10115E+17,2.20113E+15,8-Feb-18,TZS,MonthlyInstalments30Days,9,2000000,0,267043,280128,17-Jun-14,,6-Dec-11,,BusinessLoan,Existing,,,,,6-Sep-12,No
1.10117E+17,2.20117E+15,8-Feb-18,TZS,MonthlyInstalments30Days,9,800000,0,112855,120190,13-Oct-17,,13-Jan-17,,BusinessLoan,Existing,,,110,,13-Oct-17,Yes
1.10118E+17,2.20117E+15,9-Feb-18,TZS,MonthlyInstalments30Days,36,4400000,4058441,0,174943,31-Jan-18,,18-Sep-17,18-Sep-20,ConsumerLoan,Existing,,,0,,18-Sep-20,No
1.10115E+17,2.20115E+15,9-Feb-18,TZS,MonthlyInstalments30Days,51,12956741,5364051,537029,394418,28-Nov-17,,30-Jun-15,30-Sep-19,ConsumerLoan,Existing,,,69,,30-Sep-19,No
1.10113E+17,2.20113E+15,8-Feb-18,TZS,MonthlyInstalments30Days,6,1500000,0,554392,300268,28-Apr-14,,14-May-13,,BusinessLoan,Existing,,,,,14-Nov-13,No
1.10115E+17,2.20115E+15,9-Feb-18,TZS,MonthlyInstalments30Days,60,5800000,2416667,0,164333,31-Jan-18,,5-Mar-15,5-Mar-20,ConsumerLoan,Existing,,,0,,5-Mar-20,No
1.10113E+17,2.20114E+15,8-Feb-18,TZS,MonthlyInstalments30Days,12,3000000,0,921755,338476,1-Oct-14,,16-Nov-13,,BusinessLoan,Existing,,,,,17-Nov-14,No
1.10114E+17,2.20115E+15,8-Feb-18,TZS,MonthlyInstalments30Days,6,1000000,0,713262,200179,1-Jul-15,,28-Feb-15,,BusinessLoan,Existing,,,972,,28-Sep-15,Yes
1.10117E+17,2.20117E+15,8-Feb-18,TZS,MonthlyInstalments30Days,10,800000,0,610338,111284,8-Jul-17,,8-Sep-16,,BusinessLoan,Existing,,,387,,8-Jul-17,Yes
1.10118E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,72,7300000,7167328,0,196641,11-Jan-18,,11-Oct-17,11-Oct-23,ConsumerLoan,Existing,,,0,,11-Oct-23,No
1.10117E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,8,1800000,1575000,225000,279000,20-Jan-18,,20-Nov-17,20-Jul-18,OtherInstalmentOperation,Existing,,,16,,20-Jul-18,No
1.10113E+17,2.20114E+15,8-Feb-18,TZS,MonthlyInstalments30Days,12,2000000,0,428454,232058,1-Sep-15,,17-Sep-14,,BusinessLoan,Existing,,,898,,17-Sep-15,Yes
1.10114E+17,2.20117E+15,8-Feb-18,TZS,MonthlyInstalments30Days,9,4000000,545363,0,575358,22-Jan-18,,22-May-17,,BusinessLoan,Existing,,,0,,22-Feb-18,No
1.10118E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,48,2000000,1950868,24355,66314,27-Jan-18,,26-Oct-17,26-Oct-21,OtherInstalmentOperation,Existing,,,10,,26-Oct-21,No
1.10113E+17,2.20113E+15,8-Feb-18,TZS,MonthlyInstalments30Days,6,1000000,0,536527,197017,22-Jul-13,,20-Apr-13,,BusinessLoan,Existing,,,,,21-Oct-13,No
1.10114E+17,2.20114E+15,8-Feb-18,TZS,MonthlyInstalments30Days,9,1500000,0,1252264,215759,1-Jan-15,,23-Aug-14,,BusinessLoan,Existing,,,,,2-Jun-15,No
1.10116E+17,2.20116E+15,8-Feb-18,TZS,MonthlyInstalments30Days,8,3000000,0,885726,483108,13-Jun-17,,14-Jul-16,,BusinessLoan,Existing,,,351,,14-Mar-17,Yes
1.10116E+17,2.20116E+15,8-Feb-18,TZS,MonthlyInstalments30Days,6,600000,0,113846,120107,18-Jul-16,,11-Nov-15,,BusinessLoan,Existing,,,630,,11-May-16,Yes
1.10115E+17,2.20116E+15,9-Feb-18,TZS,MonthlyInstalments30Days,48,3100000,2408912,0,102787,28-Jan-18,,2-Aug-16,30-Aug-20,OtherInstalmentOperation,Existing,,,0,,30-Aug-20,No
1.10118E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,36,550000,396680,,21868,25-Jan-18,,23-Dec-16,23-Dec-19,OtherInstalmentOperation,Existing,,,13,,23-Dec-19,No
1.10115E+17,2.20117E+15,9-Feb-18,TZS,MonthlyInstalments30Days,48,1800000,1404504,0,59683,28-Jan-18,,4-Nov-16,28-Nov-20,OtherInstalmentOperation,Existing,,,0,,28-Nov-20,No
1.10113E+17,2.20113E+15,8-Feb-18,TZS,MonthlyInstalments30Days,12,3500000,0,1071331,392665,1-Sep-14,,15-Jun-13,,BusinessLoan,Existing,,,,,16-Jun-14,No
1.10115E+17,2.20116E+15,8-Feb-18,TZS,MonthlyInstalments30Days,9,1500000,0,1226152,215759,1-Apr-16,,17-Dec-15,,BusinessLoan,Existing,,,685,,17-Sep-16,Yes
1.10115E+17,2.20115E+15,9-Feb-18,TZS,MonthlyInstalments30Days,60,10000000,5333333,0,308333,31-Jan-18,,25-Sep-15,25-Sep-20,ConsumerLoan,Existing,,,0,,25-Sep-20,No
1.10118E+17,2.20118E+15,9-Feb-18,TZS,MonthlyInstalments30Days,24,2500000,2419777,124,133429,31-Jan-18,,18-Dec-17,18-Dec-19,OtherInstalmentOperation,Existing,,,18,,18-Dec-19,No
1.10113E+17,2.20117E+15,9-Feb-18,TZS,MonthlyInstalments30Days,12,10000000,833333,1013479,1008333,28-Dec-17,,31-Dec-16,31-Dec-17,OtherInstalmentOperation,Existing,,,39,,31-Dec-17,No
1.10117E+17,2.20117E+15,26-Feb-18,TZS,MonthlyInstalments30Days,60,8000000,6363705,0,211951,22-Jan-18,,29-Aug-16,1-Sep-21,ConsumerLoan,Existing,,,0,,1-Sep-21,No
1.10115E+17,2.20113E+15,8-Feb-18,TZS,MonthlyInstalments30Days,12,1600000,0,633743,177479,1-Sep-14,,10-Sep-12,,BusinessLoan,Existing,,,,,10-Sep-13,No
1.10114E+17,2.20114E+15,8-Feb-18,TZS,MonthlyInstalments30Days,12,3000000,0,322358,338476,22-Jul-16,,20-Nov-14,,BusinessLoan,Existing,,,803,,20-Nov-15,Yes
1.10116E+17,2.20116E+15,8-Feb-18,TZS,MonthlyInstalments30Days,8,600000,0,332002,94718,16-Aug-16,,16-Dec-15,,BusinessLoan,Existing,,,625,,16-Aug-16,Yes
